"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
1.472,0.825,1.883,1.477,-1.298,0.952,0.952,0.78,-0.086,1.074,1.738,0.613,0.728,0.698,1.55,1.023,-1.819,0.326,-0.883,0.738,1.266,-0.03,-1.104,0.942,0.158,0.585,0.738,-0.088,-1.443,0.205,-1.536,0.36,0.069,-0.684,-0.774,-1.138,0.218,-1.694,2.15,-0.929,1.207,-1.213,0.344,-0.172,0.4,0.757,-0.906,0.554,-1.235,0.894,1.685,-1.633,1.381,-1.222,-1.331,1.06,-0.131,1.847,-1.32,2.154,0.663,-0.474,-2.698,-2.372,-0.033,1.27,-0.384,2.573,-1.695,0.036,0.243,-0.688,0.618,0.026,-1.762,-0.274,0.369,-1.882,1.735,-1.371,1.255,0.556,-0.251,0.943,1.092,-0.42,0.112,0.032,-1.007,-1.424,-0.37,-0.66,0.019,-0.096,-1.085,-0.811,-1.142,0.223,1.063,0.247
-0.419,-0.321,0.455,-0.621,5.358,0.44,-0.44,0.574,-1.25,0.949,0.585,0.67,1.152,-0.24,-0.085,-0.208,-0.586,-0.777,0.752,0.79,0.02,-1.134,-1.615,-0.442,-1.214,-0.704,-1.436,1.485,0.131,-0.011,0.04,1.384,-1.619,0.877,1.163,-2.051,-0.282,0.014,-0.45,0.115,-2.148,-0.308,0.675,-2.163,0.794,0.124,-0.427,0.067,0.826,-0.84,0.769,0.463,-0.906,-0.95,1.019,-0.599,0.131,1.107,-0.238,1.709,-0.531,1.548,-1.816,-0.563,-1.821,-0.364,-0.806,-1.021,-0.013,-0.763,0.524,0.477,0.656,-1.707,0.817,1.289,0.743,-0.16,-0.71,0.606,-1.314,0.713,-1.089,-0.085,-0.552,-0.783,-1.349,0.906,0.466,0.46,0.898,0.823,0.372,-0.973,1.194,-1.196,-0.288,-1.691,0.365,-0.768
0.697,0.476,2.089,-0.318,-2.846,0.583,0.583,-1.058,0.579,1.26,0.794,0.5,-0.238,-0.575,0.701,-0.638,-0.135,-0.808,-0.212,0.461,-0.483,1.685,-0.64,-0.591,-2.042,0.64,0.038,0.156,2.38,-0.112,0.393,0.063,0.731,1.179,1.427,0.347,2.159,-0.035,0.824,0.706,-2.086,-1.616,0.385,1.92,-2.531,0.079,-0.85,1.131,-1.172,-0.573,-0.191,1.16,1.628,1.993,0.926,-0.279,-0.574,-1.638,1.337,0.31,-0.659,-0.241,-0.98,0.909,-1.648,-0.892,-0.688,-0.573,0.648,2.737,0.665,-0.056,1.507,1.588,0.559,-1.023,1.298,0.309,0.722,-0.192,0.334,1.3,1.929,0.456,-0.715,0.409,1.549,-0.8,0.068,0.135,-0.559,-1.988,0.384,-0.352,0.755,1.476,-0.539,-0.056,-0.24,1.393
-0.063,1.043,-0.905,-1.068,-2.773,-0.662,-0.662,1.123,-0.998,1.007,-0.817,-0.162,-1.673,1.024,-2.256,1.503,1.177,-0.516,0.326,0.667,0.18,-0.635,-0.662,0.394,-2.183,0.388,0.168,-0.001,-1.043,-0.848,0.74,-0.154,-0.034,0.421,0.506,-0.781,0.949,-1.139,-0.693,-0.449,-0.243,-1.791,1.154,0.799,-0.028,-1.703,-0.247,0.618,0.987,0.361,0.452,1.788,1.303,-0.469,0.764,0.259,0.592,0.117,-0.496,0.697,-0.919,-0.395,-0.272,-1.391,1.122,-2.114,1.609,-0.406,-1.363,-2.108,0.071,1.461,0.107,-0.474,0.8,-1.503,0.799,-1.532,-1.157,-0.531,0.385,1.14,0.749,-0.285,-0.859,-0.566,-2.023,0.822,-0.523,0.141,-0.784,0.925,-0.311,-0.443,-0.486,0.216,-1.223,0.527,-1.215,-0.481
-0.043,0.012,0.321,-0.293,0.768,-0.851,-0.851,-0.622,-0.563,-0.261,0.874,-1.95,0.908,0.502,0.298,0.104,0.132,-0.04,2.207,-0.025,-0.484,0.302,1.379,-0.205,0.541,1.188,-1.244,1.994,0.734,-0.062,-0.776,0.066,1.762,-0.129,1.24,0.524,0.673,0.823,0.672,-0.436,-0.517,0.187,0.23,-0.776,0.224,-1.047,0.22,-0.312,-0.242,0.105,0.483,0.35,-0.29,0.856,-0.803,1.164,-1.095,1.366,-0.192,0.781,1.612,-0.319,1.928,-0.421,-0.455,0.321,1.036,0.981,-0.81,1.404,0.884,-0.333,-0.509,0.012,0.58,-0.216,-0.303,0.749,0.159,-1.905,-1.372,-1.235,-0.711,0.624,-0.239,0.25,0.497,0.527,-2.263,-0.414,0.161,-0.54,-2.137,-0.146,1.22,-0.433,-0.496,-1.145,-0.604,1.099
-0.636,1.091,-1.086,0.623,-2.712,-0.986,-0.986,0.143,0.231,-0.351,0.694,0.94,1.283,2.001,-0.146,-0.47,-0.981,-1.239,-0.196,0.612,0.446,-2.101,-1.3,0.376,-0.227,1.34,-1.415,-0.54,-0.128,-0.07,0.514,0.009,-2.761,-0.642,-0.618,0.446,-0.806,1.286,0.732,0.027,-0.635,-0.392,-1.058,1.411,0.147,0.384,-1.36,-0.976,1.326,0.784,-0.018,-1.097,-0.299,0.073,-1.272,-2.504,0.652,0.215,0.402,-0.227,0.485,-0.892,-0.967,-1.492,-0.348,0.902,-0.947,0.403,-0.069,0.587,-0.179,0.088,0.745,-0.643,-1.918,0.618,0.749,0.245,0.991,2.414,1.039,-1.489,0.493,2.149,-0.112,-0.004,0.9,1.229,-0.097,0.001,1.208,-0.108,-1.166,-1.664,0.88,0.501,0.04,-0.293,-3.074,-0.995
-0.245,0.338,0.362,-0.532,-1.435,-0.423,0.423,1.471,0.845,-0.754,-0.133,1.375,1.647,0.469,0.044,0.029,0.263,0.322,-1.666,0.219,0.648,-0.406,-1.87,-1.399,-1.367,-1.609,-0.578,-1.116,-0.536,-0.782,-0.409,1.32,-0.517,0.307,-1.428,0.485,0.241,1.149,0.057,-0.201,-0.376,-1.797,-0.772,0.388,-0.11,-0.869,-0.517,-1.596,-0.492,-0.894,-0.881,-0.336,0.603,0.284,0.502,0.64,-0.088,1.575,0.21,1.197,-1.096,-0.665,1.664,1.633,0.031,0.608,2.109,-0.723,0.169,0.52,2.333,1.165,1.034,0.735,-0.603,1.098,-1.09,0.112,0.292,-1.095,-0.084,1.045,0.653,0.128,-0.972,-0.457,-0.617,1.989,-0.635,-1.452,-0.627,-0.258,-0.841,-0.724,-1.335,-1.584,-0.21,-0.53,0.221,-0.538
0.063,-1.204,0.77,-0.156,11.561,-0.165,0.165,-0.365,-0.058,-0.05,-0.492,1.336,-0.957,1.082,0.136,-2.654,-0.185,0.446,-1.509,-0.298,1.1,-0.227,0.349,0.009,0.106,-0.368,-0.589,1.016,-1.19,-2.103,1.445,-0.428,-0.433,-0.936,0.114,1.361,-0.863,-0.727,1.069,0.425,0.163,1.633,-0.218,-0.04,-2.603,-0.502,1.553,0.254,-1.264,0.102,0.133,0.579,-0.482,-0.672,0.258,-1.656,0.877,-1.342,-0.947,0.568,-0.273,0.178,0.477,-0.137,-0.718,-0.029,1.095,1.044,0.345,-0.694,-0.771,0.828,-0.408,-1.039,-0.27,-1.579,0.219,-0.079,0.826,-0.207,1.344,0.198,-0.325,-1.614,-0.441,-0.624,-0.438,-1.475,2.109,-0.272,0.015,-0.649,-1.059,-0.503,1.425,-0.523,0.102,-0.725,-0.074,0.161
0.728,-0.563,1.031,2.141,-2.068,0.758,0.758,-0.807,0.657,0.402,0.03,-0.801,-0.474,1.317,-0.524,0.34,0.764,0.383,1.452,1.266,1.398,0.391,0.296,-0.462,0.018,-0.09,-1.288,0.928,-2.693,-2.119,-1.323,0.547,-0.215,1.437,-0.955,0.418,0.014,-0.404,0.953,1.226,1.224,-0.837,1.893,0.663,0.308,-0.2,0.741,0.426,-1.497,-1.508,-1.061,2.083,-0.455,-0.648,-0.427,0.532,0.181,-0.472,0.96,-0.456,-0.27,-0.014,0.412,-1.136,-0.383,-0.527,-0.981,0.5,0.108,-1.24,-0.55,-2.791,-1.043,1.16,-0.453,-0.776,0.827,-0.35,1.733,0.416,1.621,0.59,-2.718,0.003,1.275,-0.914,2.491,0.821,1.422,-0.334,1.001,0.329,-1.216,-2.022,-0.365,-0.97,-0.34,-0.417,-0.474,-1.529
0.455,1.258,-0.594,2.552,-0.679,0.628,0.628,-0.158,-0.419,0.518,-0.499,-0.938,-0.824,1.41,-0.902,0.134,-1.093,0.15,0.443,1.176,-0.771,-0.432,0.106,0.391,1.132,-0.528,-0.229,0.322,-0.628,-1.504,-0.135,-0.161,-0.782,1.828,-0.427,-0.151,0.748,-0.506,-0.891,-0.611,-1.312,-0.774,-0.09,-3.053,-1.968,1.158,0.079,-0.638,1.801,1.032,-0.144,0.178,-0.44,-0.038,0.161,0.096,0.055,0.874,0.973,1.143,1.741,-0.273,0.263,-0.551,0.936,-0.276,-0.859,0.145,-2.653,0.94,0.627,1.154,1.593,-0.451,-0.348,0.544,-0.794,0.965,-0.959,-0.262,1.048,0.749,-0.046,-1.587,-0.874,0.254,-0.754,0.069,-0.011,-0.757,-0.367,0.337,2.018,1.858,-1.226,2.447,0.333,0.076,-1.189,0.045
-0.152,0.174,0.108,-0.551,-0.392,-0.916,-0.916,-1.041,-0.728,0.003,-0.624,0.548,1.035,0.108,-2,-0.678,0.867,-1.781,-0.873,-1.267,1.072,0.462,1.484,1.948,-0.972,0.627,0.303,-1.137,-1.226,0.296,0.125,0.579,-0.284,0.404,0.819,-0.802,0.608,-1.616,-0.11,0.253,-1.192,0.074,1.295,-0.016,0.428,0.458,-2.207,0.277,-0.075,-0.213,-2.388,-0.772,-0.499,-1.015,-0.556,0.68,-1.277,-0.158,-0.745,-0.941,0.238,-1.172,0.913,-1.241,0.089,1.055,0.641,1.245,0.784,-0.677,1.163,0.582,-1.311,-0.253,-0.914,-0.29,-1.016,1.413,0.875,-0.723,-1.281,0.247,-1.206,0.03,0.064,-2.09,-0.547,-1.95,1.349,0.938,2.138,0.691,-1.129,-0.371,-1.207,-1.641,1.069,0.818,0.533,-0.979
-0.365,1.257,1.264,0.41,-0.806,-0.468,0.468,0.049,-1.073,-0.122,2.9,0.652,-0.834,1.398,0.513,-1.258,0.784,0.761,-0.498,-1.272,-0.056,1.553,-1.342,-0.415,0.539,-1.466,-1.253,-1.455,1.522,0.708,0.243,0.13,-0.539,1.186,-0.472,0.023,0.832,-0.884,-0.828,-0.66,-1.138,0.272,1.369,-1.275,-0.765,-1.127,0.034,1.406,0.711,0.523,-1.206,-0.767,-2.017,-1.682,0.512,0.497,1.357,0.308,-1.227,-0.04,-2.608,1.054,-2.481,0.962,-2.095,-0.855,0.069,-0.249,0.108,-1.173,0.402,-0.018,0.411,0.284,1.391,-1.151,-1.001,0.641,1.324,0.908,-0.881,1.634,1.483,0.032,0.578,-1.021,0.878,1.173,-0.696,-0.701,-0.838,-0.383,0.484,-0.659,-1.387,-0.842,0.026,-2.091,0.317,-1.175
0.788,0.228,-0.777,-1.499,-0.102,0.017,-0.017,-1.395,0.564,-0.713,-0.697,0.788,-1.979,0.533,0.826,0.622,0.036,1.084,-0.08,-0.315,-1.137,0.89,-0.437,0.868,-0.757,-1.085,1.499,-1.414,0.775,-0.261,-1.248,0.725,0.89,1.034,-0.418,3.021,0.753,0.996,-0.35,-1.933,-0.118,-1.193,-1.944,0.259,1.881,-0.048,0.155,0.126,0.416,0.458,0.335,0.312,0.229,-0.131,1.49,-0.131,0.826,0.755,0.165,0.218,-0.161,-0.55,0.78,1.099,-0.77,-1.098,-0.141,1.474,0.203,1.333,0.454,-0.431,1.733,1.207,-0.841,0.223,0.473,-2.324,0.785,0.528,0.538,-0.605,-0.067,-0.491,0.301,0.743,-1.241,0.249,0.156,-0.571,0.182,-0.439,-0.775,1.25,0.747,0.042,0.945,-1.324,0.236,-1.693
1.56,-1.87,1.578,0.333,-0.832,-0.154,0.154,-0.207,0.053,-0.848,0.967,1.384,-1.077,-0.364,1.097,-0.849,-1.246,0.548,-0.259,-0.847,0.525,2.613,-1.726,-1.873,-0.359,0.382,-0.038,-0.038,-0.607,-0.956,1.526,-1.055,-2.372,-1.763,-2.335,-0.782,0.765,-2.045,0.896,0.331,1.007,0.183,-0.84,-0.935,0.626,-0.468,0.732,0.959,-2.817,-0.303,-0.019,0.47,0.996,-0.614,1.569,0.007,0.575,0.433,1.286,1.708,0.538,-0.297,0.076,-0.849,-0.161,1.338,-0.229,-0.939,0.851,-0.541,0.03,1.81,-0.987,-1.192,-1.329,-0.258,-1.107,-0.63,0.561,-0.285,-0.801,-1.397,-1.359,0.597,1.316,-1.121,1.761,0.371,0.104,-0.929,0.936,-0.405,0.245,1.539,-0.497,-0.893,-0.237,0.207,-0.223,-0.928
-1.363,-1.006,0.405,-3.004,0.57,0.692,0.692,0.194,1.335,2.002,1.271,-2.148,0.493,-0.69,0.469,-1.745,1.246,1.486,0.097,0.562,-1.955,1.275,-1.079,0.671,-0.123,0.814,0.191,-0.913,-0.224,0.347,1.466,-0.577,-1.379,1.578,1.519,-0.034,0.152,0.069,0.797,0.45,-1.244,0.152,0.889,0.823,1.154,-1.045,-0.415,-0.624,1.246,0.731,-2.677,1.131,-0.135,0.083,-0.046,-0.184,-0.345,-0.427,-0.056,-0.63,1.368,-0.03,1.066,-0.238,-0.801,0.182,-0.186,-0.53,-1.411,1.484,-1.363,-0.433,0.299,-0.564,-2.097,-1.914,-1.101,1.657,0.19,1.27,-1.563,1.018,1.061,0.874,1.655,-0.082,0.328,0.602,-0.922,-0.231,-0.853,0.991,-0.943,-0.835,-1.248,-0.589,0.05,2.284,0.519,-0.131
0.176,1.178,-0.641,-0.735,1.716,1.352,1.352,-0.497,-0.995,0.198,-1.225,-0.933,-1.072,0.266,0.189,-1.788,-0.549,-1.842,1.222,-0.875,-0.827,1.251,0.093,0.996,0.916,-1.214,0.782,-0.147,-0.269,0.775,0.756,0.003,-0.564,-0.677,0.031,0.958,-0.164,0.734,-0.755,0.858,0.505,-0.868,-1.646,0.581,0.036,0.988,-1.23,1.161,-1.115,-0.311,-0.723,0.963,-1.997,-0.564,0.307,-1.629,-0.105,0.423,0.906,0.904,-1.926,-1.386,1.599,-2.092,-0.113,-1.254,1.568,1.674,-0.709,-0.464,0.964,-0.382,0.18,0.76,-0.68,1.287,-0.832,-0.743,-1.017,0.039,-0.12,-1.131,-0.291,-1.121,-0.66,-1.463,-1.15,-0.923,-0.451,-0.988,2.605,0.725,-0.048,-0.41,-1.605,0.267,-1.031,1.26,1.072,1.954
-0.109,-2.566,1.57,1.431,-2.189,1.302,1.302,0.774,0.58,-1.136,1.006,-1.722,0.744,0.805,-0.609,-0.637,0.043,-1.216,0.12,-1.841,0.003,0.387,-0.191,-1.012,-0.684,0.659,1.138,0.953,-0.722,0.662,1.543,0.735,2.323,-1.525,-1.278,-0.309,-1.287,0.849,-1.617,0.224,-0.242,-1.196,-1.488,-1.469,0.129,0.098,-1.212,1.401,-0.103,0.223,-0.061,1.524,0.043,0.898,-3.018,0.2,0.093,-0.788,0.9,2.749,-0.644,-0.021,2.286,3.072,-0.751,0.132,0.185,0.019,2.171,-0.062,2.204,-0.762,1.133,-0.461,3.229,-1.455,-0.129,0.023,0.068,0.39,0.97,-1.709,-0.479,0.174,0.616,-0.031,-1.66,-1.17,0.098,1.569,-1.116,0.784,0.837,-0.103,0.269,0.8,0.973,-0.408,1.402,1.236
-0.806,-0.339,-0.065,-2.395,-1.906,0.434,-0.434,-0.354,0.749,1.989,-0.295,-0.303,-0.68,0.163,0.726,-1.284,-1.363,-3.465,-0.212,0.6,-1.375,-0.257,0.61,0.495,-0.087,-0.515,-1.1,-0.03,-0.107,-0.686,-0.057,0.518,-1.251,-0.071,-1.183,0.426,0.949,-1.005,1.682,-0.566,-2.127,-0.236,0.752,1.051,1.969,-0.393,0.033,-0.38,1.011,0.409,-0.105,0.203,0.31,-0.495,-0.654,0.189,1.174,1.924,1.19,-0.41,-0.105,0.859,0.269,1.523,-0.231,-1.085,-0.117,-0.747,0.693,-0.304,-1.829,0.195,0.858,0.638,0.116,1.129,-0.041,0.301,-1.096,0.475,0.868,1.108,0.217,1.347,-0.162,0.136,0.528,-0.444,-1.736,0.565,-0.546,0.058,0.112,-1.65,1.118,0.882,-1.133,-0.196,0.693,-0.981
0.476,0.066,0.288,1.707,-0.908,-0.582,-0.582,-1.295,0.195,-1.372,-0.128,1.032,-0.528,0.046,-1.825,1.644,-1.594,-1.153,2.307,0.182,-2.651,1.471,0.334,0.634,0.187,-2.03,1.991,-0.485,1.142,0.932,-0.569,1.905,-1.564,0.654,-0.172,-1.274,-0.404,-0.606,1.099,0.366,-1.541,-0.526,-1.259,1.404,0.13,-0.055,0.567,1.166,0.122,-0.2,-2.171,-0.027,-0.542,-1.883,0.633,1.892,1.18,-0.528,0.364,-1.266,1.133,-0.361,-0.391,-0.73,0.466,0.287,-0.337,-0.855,0.105,-2.691,0.29,1.47,-0.216,-0.963,0.136,-1.012,2.258,-0.254,-0.229,-1.109,-0.278,0.721,1.159,0.75,0.482,-0.789,1.445,-0.936,-0.525,0.429,0.172,2.063,1.231,-0.776,0.731,0.872,-0.203,0.497,-1.07,0.663
-0.378,1.746,0.344,-0.186,0.146,0.24,-0.24,-0.453,-1.115,-0.28,0.112,0.349,-1.202,1.64,-0.664,0.237,-0.409,1.087,0.759,0.722,-0.505,0.272,0.29,-1.182,0.606,-0.663,0.114,0.656,1.723,-1.724,0.441,-0.398,0.009,0.049,-0.309,-0.448,0.532,-0.211,-0.427,1.033,0.132,0.709,1.248,-0.048,0.243,-0.395,-0.498,-1.161,-0.17,1.42,-0.839,-0.739,1.443,-1.031,-1.284,-0.517,0.644,-0.119,1.911,0.81,-0.054,1.279,1.161,-0.4,1.225,0.391,0.176,0.292,0.929,0.445,-1.117,-0.53,1.152,-1.753,2.706,0.317,-0.386,-0.584,-0.487,-0.001,-0.223,0.415,0.63,0.701,1.714,0.383,1.131,-0.651,0.93,-1.04,-1.252,-1.274,0.378,-1.382,0.061,-1.019,0.393,-0.479,0.174,-0.071
-1.437,2.218,0.716,0.622,1.603,0.68,0.68,0.548,-0.167,0.856,-0.584,0.782,-1.71,0.349,-0.124,-0.266,2.021,0.054,-0.372,-0.616,-0.237,-0.5,-0.092,2.139,-0.067,0.951,-1.354,1.481,-1.188,0.516,-0.221,0.993,1.234,-1.263,-0.343,0.311,0.857,0.524,-1.183,-0.833,-0.083,2.229,0.544,-0.613,0.189,-0.781,1.887,-0.133,0.516,0.836,0.692,0.92,0.525,0.476,-1.605,-0.052,0.212,0.47,0.181,1.764,-0.473,0.213,-0.439,0.453,1.572,-0.175,1.372,-1.077,0.887,-1.502,0.313,0.904,-0.807,0.761,-0.046,0.417,0.742,-0.747,0.304,-1.676,1.301,0.468,1.111,-0.664,-0.556,0.764,-0.527,0.835,-0.413,-0.098,0.25,-0.069,-0.408,-0.102,1.704,1.992,1.03,0.173,-0.146,0.808
0.869,-0.054,-0.366,-0.401,-1.168,-0.444,0.444,-0.798,-0.031,0.867,0.324,0.117,0.371,1.482,1.018,0.544,-0.084,1.015,0.51,-0.921,-0.775,-2.083,-1.187,-0.251,-0.818,-0.851,1.254,-0.778,-0.785,-0.131,-0.575,-0.751,-1.554,-0.547,0.822,-0.836,-0.172,-1.013,1.697,0.844,-1.392,-0.843,1.351,0.593,-0.703,-2.117,0.997,-1.665,-0.626,-0.665,-0.458,-0.15,0.922,0.798,0.185,1.166,-1.12,-0.221,-1.057,0.28,-1.149,-2.177,0.885,-0.634,0.537,0.579,-1.782,0.872,-0.715,0.736,-0.419,0.788,-1.732,1.008,-1.006,1.018,1.151,1.41,0.853,0.566,-0.961,-0.759,1.34,0.337,-0.654,1.001,0.104,0.193,1.308,0.208,-1.166,-0.908,1.1,0.595,0.424,-0.186,-1.903,-1.333,2.119,0.283
0.88,0.885,-0.743,0.898,2.868,0.845,0.845,0.528,-0.759,-1.005,-0.437,1.316,-0.058,-0.901,-1.814,-1.269,1.043,-0.484,-0.005,0.36,0.936,0.431,-0.585,-0.893,-0.039,2.39,0.073,1.824,-0.371,-2.549,-0.254,0.028,-0.259,0.042,-0.635,0.299,-0.993,-1.078,-0.794,-0.55,-0.633,0.703,-2.2,-1.385,0.376,-0.303,1.762,1.384,-0.234,-0.765,-0.169,0.602,0.118,-0.356,-0.128,1.057,-1.209,0.551,0.569,-0.36,-0.958,-0.223,-0.545,0.185,-0.395,-1.957,-0.954,-0.432,0.852,1.892,-1.731,-0.945,-0.816,0.779,1.535,-1.288,1.05,1.44,-0.151,-0.035,0.35,0.072,-1.484,-0.085,-0.434,0.148,0.308,0.139,-1.302,2.357,-0.146,0.017,-0.027,-0.987,-2.382,0.173,-1.362,-0.622,-1.424,-0.724
-1.379,-0.816,-0.585,0.606,-2.345,0.323,-0.323,0.041,0.84,-0.022,1.269,-0.167,1.7,-0.594,1.152,0.785,0.25,0.505,0.385,0.693,0.742,-1.165,1.924,-0.277,0.687,1.253,0.101,1.324,1.173,1.754,0.673,0.299,2.014,0.949,-1.414,-0.944,-0.347,-0.27,-1.067,-1.511,0.052,-0.685,-0.04,-0.325,0.482,0.924,-0.013,0.318,-0.958,0.853,-0.507,-0.005,-1.224,0.421,2.096,-0.697,-1.213,-0.737,0.226,-1.139,-0.701,0.133,0.952,1.228,-1.602,-0.623,0.844,-1.133,-0.154,1.249,1.116,-2.084,1.032,-1.166,0.574,1.646,0.698,2.135,-1.073,1.277,-1.804,-0.047,-0.139,0.001,1.45,-0.471,0.829,-1.347,0.673,1.034,-0.053,0.047,-0.347,-0.042,1.172,-0.772,0.434,1.448,0.576,1.037
1.231,-0.291,-0.139,-0.986,3.514,-0.238,0.238,-0.003,0.044,1.725,1.67,0.968,-0.354,0.602,-0.073,0.743,-0.268,-0.707,0.709,-0.76,-2.143,1.493,0.654,0.015,-1.783,0.466,-0.55,-1.768,0.807,-0.16,-0.559,0.147,-0.922,-0.94,0.851,-1.818,1.166,0.16,-0.24,2.27,-1.739,0.016,0.577,0.014,0.385,-0.073,-0.204,0.945,-1.81,-0.204,-0.216,1.714,0.937,-0.86,-0.296,0.695,-1.887,-0.925,-0.121,0.316,-1.435,-1.022,0.996,-0.322,0.005,0.76,0.238,-0.247,-0.551,-2.443,0.357,0.27,-1.895,-0.248,1.55,0.016,-0.786,-1.089,1.118,-2.519,0.42,-0.59,0.542,0.621,-1.404,0.184,0.164,-0.464,1.855,-1.416,-0.013,1.181,1.001,1.727,0.296,2.304,0.036,0.201,1.054,0.109
0.997,2.185,-0.694,-1.151,0.077,-0.264,0.264,-0.936,0.258,-1.559,0.252,-0.823,-0.649,-0.24,0.059,0.126,-0.974,-0.638,-0.738,0.714,-1.199,-0.532,-0.163,0.075,0.043,-0.933,-1.045,0.555,0.372,0.229,-2.098,0.456,0.025,-0.008,0.497,0.401,1.06,2.268,-0.093,1.418,-0.969,1.395,-0.212,-0.946,0.096,0.567,-0.434,0.67,0.791,0.699,-0.083,0.856,0.326,0.458,0.721,-0.039,0.106,-2.653,-0.443,1.191,0.77,-0.8,2.841,2.029,1.81,-0.253,-1.843,-1.631,-1.236,-0.042,-2.054,-0.688,0.14,1.752,0.976,-1.102,1.269,1.15,0.824,1.713,-0.491,0.657,-1.767,0.891,-0.343,-0.312,0.429,0.829,-0.439,0.613,1.274,1.185,-2.636,1.176,-0.047,-2.09,-0.908,-0.434,-0.549,1.046
1.239,1.289,-0.342,-2.048,-0.467,-0.127,0.127,-1.507,0.936,-0.872,-0.809,-0.323,-0.535,-0.469,0.22,-0.445,1.231,-1.618,0.503,-2.363,0.078,-0.031,-1.303,1.48,-0.553,-0.942,-1.472,-0.282,0.223,0.345,1.135,-0.451,-0.889,-0.301,-0.54,-1.372,0.501,-0.232,0.356,1.229,-1.215,-0.714,1.606,0.219,-0.107,0.385,0.139,0.307,-0.29,-0.551,-0.83,-0.905,-1.155,-0.627,-1.713,1.192,1.252,-0.545,0.93,0.54,0.816,-1.215,-1.06,0.216,-0.462,0.733,0.848,0.865,-0.956,0.872,-0.269,0.048,-0.997,-1.566,0.356,-1.633,0.848,-0.281,-1.016,-0.449,-0.622,-1.449,-2.236,-1.001,-1.935,0.094,0.927,-0.305,-0.79,1.453,1.835,0.506,0.309,-1.867,0.094,1.167,1.092,1.799,-0.243,-0.729
1.361,0.216,0.601,-0.632,-1.452,0.307,-0.307,-0.917,0.31,-0.322,0.109,-0.12,1.55,-1.126,-2.242,-1.213,-1.337,-0.528,-0.982,0.864,-0.646,0.659,-0.737,-0.789,-1.776,-1.13,1.063,-1.003,2.81,0.339,-0.108,-0.501,0.059,0.863,0.153,-0.034,1.537,-0.755,0.38,-0.893,0.677,-0.475,-0.039,-0.056,1.039,1.454,-0.529,0.079,-1.416,-1.051,-1.025,-0.344,-0.63,1.313,0.537,-0.58,0.091,0.71,-0.671,-0.113,-1.496,0.259,-0.418,0.094,1.603,-0.992,-0.16,-1.222,1.204,0.133,0.285,-0.156,0.058,-0.34,-1.548,-0.993,0.905,0.559,-0.152,-0.36,2.35,-1.324,0.056,-0.089,-0.736,-2.391,1.261,-0.043,-1.074,0.92,-0.527,0.187,0.073,1.096,1.27,-0.237,0.041,1.302,1.143,-1.121
-2.403,0.5,0.762,0.618,-1.946,0.841,0.841,-2.616,0.13,-2.098,3.219,0.136,1.075,-0.068,1.053,-0.008,-1.507,0.004,-0.916,-0.207,1.229,0.53,-1.366,1.07,-0.63,0.315,1.853,0.973,0.321,-2.878,1.372,1.224,-0.848,-0.75,1.463,-0.794,-0.769,0.129,-0.351,-0.227,-0.752,-0.778,0.802,1.598,-0.115,1.936,0.725,-0.356,0.366,0.478,-0.405,-0.912,-0.664,0.732,0.931,0.483,0.623,0.1,0.125,-0.323,-0.314,0.693,-1.255,0.007,0.437,-0.65,-0.335,0.304,-0.286,1.351,-0.944,1.441,-0.049,-0.794,0.81,3.18,0.535,0.667,0.342,-2.683,0.136,-1.054,-1.664,1.254,-1.076,1.388,1.189,-1.893,-1.565,-1.518,1.606,-0.569,-1.523,0.046,1.119,-1.156,-0.808,-1.381,0.206,0.1
0.247,-0.911,1.479,1.634,-1.178,-1.149,-1.149,0.455,-0.356,-0.512,-0.977,-0.76,-0.361,0.876,0.692,-0.784,1.606,0.655,-0.546,-0.939,-0.224,-0.917,-1.103,0.209,-0.091,-0.685,0.816,-0.236,-1.031,-1.362,-0.969,0.769,0.189,1.152,0.168,-1.388,1.638,-1.401,0.138,0.455,-1.305,0.467,-0.191,-0.262,0.108,-0.682,-0.2,0.316,0.516,1.88,1.955,0.326,-0.492,0.724,-1.489,-0.766,1.6,0.344,0.468,0.233,2.087,-0.416,-0.387,1.815,-1.419,0.443,0.497,-0.153,0.348,-0.621,-0.46,-1.637,-0.298,-0.861,0.73,-1.631,0.667,0.146,-0.169,0.006,-1.157,-0.286,0.324,-0.246,0.208,-2.137,-0.211,0.387,0.106,0.55,0.096,-1.558,1.107,-0.047,0.464,-0.445,0.409,-0.509,-1.095,-0.336
